Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
140725,77700.0,52000.0,1.494230769,Condo
180807,145600.0,200000.0,0.728,Single Family
61647,134330.0,308401.0,0.435569275,Two Family
150652,177740.0,287000.0,0.619303136,Single Family
61070,46980.0,159000.0,0.295471698,Two Family
190463,1061900.0,1210000.0,0.8776,Single Family
70099,179400.0,200000.0,0.897,Single Family
2002516,455400.0,691250.0,0.6588,Single Family
200460,116340.0,211000.0,0.5513,Single Family
120858,3316950.0,3850000.0,0.861545455,Single Family
120106,206800.0,280000.0,0.738571429,Single Family
190534,37460.0,92000.0,0.4072,Condo
150047,149230.0,240000.0,0.621791667,Single Family
160039,77900.0,76999.0,1.011701451,Two Family
180003,163870.0,88500.0,1.8516,Single Family
140045,186900.0,275000.0,0.679636364,Single Family
180460,156500.0,202000.0,0.7747,Single Family
60141,209300.0,275000.0,0.761090909,Single Family
150192,129710.0,262500.0,0.494133333,Two Family
19089,411300.0,550000.0,0.7478,Single Family
2000398,168060.0,317400.0,0.5294,Single Family
190136,84000.0,137500.0,0.6109,Condo
170041,156170.0,150000.0,1.041133333,Single Family
900087,24900.0,21500.0,1.158139535,Single Family
16531,16380.0,10000.0,1.638,Single Family
140127,83720.0,112000.0,0.7475,Single Family
70242,129360.0,190000.0,0.680842105,Condo
